sensor_id,timestamp,latitude,longitude,temperature,humidity,pressure,air_quality,noise_level
S001,2026-06-01 00:00:00,37.79406,-122.390632,17.894,78.376,1010.073,36.688,38.423
S001,2026-06-01 00:05:00,37.79406,-122.390632,17.796,78.681,1010.106,36.732,38.423
S001,2026-06-01 00:10:00,37.79406,-122.390632,17.7,78.978,1010.139,36.775,38.424
S001,2026-06-01 00:15:00,37.79406,-122.390632,17.607,79.267,1010.171,36.819,38.424
S001,2026-06-01 00:20:00,37.79406,-122.390632,17.516,79.547,1010.203,36.862,38.424
S001,2026-06-01 00:25:00,37.79406,-122.390632,17.428,79.82,1010.235,36.906,38.424
S001,2026-06-01 00:30:00,37.79406,-122.390632,17.342,80.084,1010.267,36.949,38.425
S001,2026-06-01 00:35:00,37.79406,-122.390632,17.259,80.34,1010.298,36.992,38.425
S001,2026-06-01 00:40:00,37.79406,-122.390632,17.178,80.587,1010.33,37.035,38.426
S001,2026-06-01 00:45:00,37.79406,-122.390632,17.1,80.825,1010.36,37.078,38.426
S001,2026-06-01 00:50:00,37.79406,-122.390632,17.025,81.055,1010.391,37.121,38.427
S001,2026-06-01 00:55:00,37.79406,-122.390632,16.952,81.276,1010.421,37.164,38.427
S001,2026-06-01 01:00:00,37.79406,-122.390632,16.882,81.488,1010.451,37.206,38.428
S001,2026-06-01 01:05:00,37.79406,-122.390632,16.814,81.69,1010.481,37.248,38.429
S001,2026-06-01 01:10:00,37.79406,-122.390632,16.75,81.884,1010.51,37.29,38.43
S001,2026-06-01 01:15:00,37.79406,-122.390632,16.688,82.068,1010.539,37.332,38.431
S001,2026-06-01 01:20:00,37.79406,-122.390632,16.628,82.243,1010.567,37.373,38.432
S001,2026-06-01 01:25:00,37.79406,-122.390632,16.572,82.409,1010.596,37.414,38.433
S001,2026-06-01 01:30:00,37.79406,-122.390632,16.518,82.565,1010.623,37.455,38.435
S001,2026-06-01 01:35:00,37.79406,-122.390632,16.467,82.712,1010.651,37.496,38.436
S001,2026-06-01 01:40:00,37.79406,-122.390632,16.419,82.849,1010.678,37.536,38.438
S001,2026-06-01 01:45:00,37.79406,-122.390632,16.374,82.977,1010.705,37.576,38.441
S001,2026-06-01 01:50:00,37.79406,-122.390632,16.332,83.095,1010.731,37.616,38.443
S001,2026-06-01 01:55:00,37.79406,-122.390632,16.292,83.204,1010.758,37.655,38.446
S001,2026-06-01 02:00:00,37.79406,-122.390632,16.256,83.303,1010.783,37.695,38.45
S001,2026-06-01 02:05:00,37.79406,-122.390632,16.222,83.392,1010.809,37.734,38.454
S001,2026-06-01 02:10:00,37.79406,-122.390632,16.191,83.471,1010.833,37.773,38.458
S001,2026-06-01 02:15:00,37.79406,-122.390632,16.163,83.541,1010.858,37.813,38.463
S001,2026-06-01 02:20:00,37.79406,-122.390632,16.138,83.601,1010.882,37.852,38.469
S001,2026-06-01 02:25:00,37.79406,-122.390632,16.116,83.652,1010.906,37.891,38.476
S001,2026-06-01 02:30:00,37.79406,-122.390632,16.097,83.692,1010.929,37.931,38.484
S001,2026-06-01 02:35:00,37.79406,-122.390632,16.081,83.723,1010.952,37.971,38.493
S001,2026-06-01 02:40:00,37.79406,-122.390632,16.068,83.745,1010.974,38.012,38.503
S001,2026-06-01 02:45:00,37.79406,-122.390632,16.057,83.756,1010.996,38.054,38.515
S001,2026-06-01 02:50:00,37.79406,-122.390632,16.05,83.759,1011.017,38.097,38.528
S001,2026-06-01 02:55:00,37.79406,-122.390632,16.045,83.751,1011.038,38.142,38.544
S001,2026-06-01 03:00:00,37.79406,-122.390632,16.044,83.734,1011.059,38.188,38.561
S001,2026-06-01 03:05:00,37.79406,-122.390632,16.045,83.707,1011.079,38.237,38.582
S001,2026-06-01 03:10:00,37.79406,-122.390632,16.05,83.671,1011.099,38.288,38.605
S001,2026-06-01 03:15:00,37.79406,-122.390632,16.057,83.626,1011.118,38.343,38.632
S001,2026-06-01 03:20:00,37.79406,-122.390632,16.068,83.571,1011.137,38.401,38.662
S001,2026-06-01 03:25:00,37.79406,-122.390632,16.081,83.507,1011.155,38.464,38.698
S001,2026-06-01 03:30:00,37.79406,-122.390632,16.097,83.433,1011.173,38.533,38.738
S001,2026-06-01 03:35:00,37.79406,-122.390632,16.116,83.351,1011.19,38.608,38.783
S001,2026-06-01 03:40:00,37.79406,-122.390632,16.138,83.259,1011.207,38.69,38.835
S001,2026-06-01 03:45:00,37.79406,-122.390632,16.163,83.158,1011.223,38.78,38.895
S001,2026-06-01 03:50:00,37.79406,-122.390632,16.191,83.049,1011.239,38.88,38.962
S001,2026-06-01 03:55:00,37.79406,-122.390632,16.222,82.93,1011.254,38.991,39.039
S001,2026-06-01 04:00:00,37.79406,-122.390632,16.256,82.803,1011.269,39.114,39.126
S001,2026-06-01 04:05:00,37.79406,-122.390632,16.292,82.666,1011.283,39.252,39.225
S001,2026-06-01 04:10:00,37.79406,-122.390632,16.332,82.522,1011.297,39.404,39.336
S001,2026-06-01 04:15:00,37.79406,-122.390632,16.374,82.368,1011.31,39.574,39.462
S001,2026-06-01 04:20:00,37.79406,-122.390632,16.419,82.206,1011.323,39.763,39.604
S001,2026-06-01 04:25:00,37.79406,-122.390632,16.467,82.036,1011.335,39.973,39.763
S001,2026-06-01 04:30:00,37.79406,-122.390632,16.518,81.858,1011.347,40.206,39.943
S001,2026-06-01 04:35:00,37.79406,-122.390632,16.572,81.672,1011.358,40.465,40.143
S001,2026-06-01 04:40:00,37.79406,-122.390632,16.628,81.477,1011.369,40.751,40.368
S001,2026-06-01 04:45:00,37.79406,-122.390632,16.688,81.275,1011.379,41.067,40.618
S001,2026-06-01 04:50:00,37.79406,-122.390632,16.75,81.065,1011.389,41.415,40.896
S001,2026-06-01 04:55:00,37.79406,-122.390632,16.814,80.847,1011.398,41.797,41.205
S001,2026-06-01 05:00:00,37.79406,-122.390632,16.882,80.621,1011.406,42.216,41.547
S001,2026-06-01 05:05:00,37.79406,-122.390632,16.952,80.389,1011.414,42.673,41.924
